Section,Language from Directive,Obligation,Obligation Category,Primary Responsible Department,Support Function,Coverage Status,Policy Gap and Recommendations,Policy Page,Corresponding Policy Text,Priority
Introduction,"--- Page 1 ---
: Directive 159.A.i (LT&ST,

FINANCIAL SERVICES BOARD
REPUBLIC OF SOUTH AFRICA FSB

LONG-TERM INSURANCE ACT, 1998 (ACT 52 OF 1998)
SHORT-TERM INSURANCE ACT, 1998 (ACT 53 OF 1998)

Long-term and Short-term insurers 10.414.1.5.2 &10.41.2.5.2
Issue date Effective date Directive Withdrawal date

- , 189.Ai","Insurers must address the requirement described in section Introduction: --- Page 1 --- : Directive 159.A.i (LT&ST, FINANCIAL SERVICES BOARD REPUBLIC OF SOUTH AFRICA FSB LONG-TERM INSURANCE ACT, 1998 (ACT 52 OF 1998) SHORT-TERM INSURANCE ACT, 1998 (ACT 53 OF 1998) Long-term and Short-term insurers 10.414.1.5....",Legal & Compliance,Legal & Compliance,Regulatory Compliance,Partially Covered,"Policy partially addresses the obligation. Update the policy to explicitly cover the missing requirement, control owner, review frequency, and evidence expectations.",10,"The Department proposing the material outsourcing arrangement should prepare a detailed business 
case, detailing the potential costs, benefits and risks associated. As part of this process, the Board 
must make an ‘in principle’ decision to continue the outsourcing process and to call for selection 
process documents. The proposed documentation should clearly outline the requirements of ABC for 
the proposed material outsourcing arrangement. 
8.2  Eligibility and qualification of a business case 
The business case should contain a selection criterion that includes specific requirements and service 
expectations, which enables a fair and impartial selection prior to outsourcing to a third party. The 
selection criteria must consider assessing the following (as a minimum):  
• 
The financial resources of the third party to deliver the services, 
• 
The third party’s technical resources, systems, and capacity to deliver the required services, 
• 
The human resources of the third party having relevant skills to provide the services, 
• 
The third party’s compliance plans and procedures, 
• 
The third circumstances party’s internal control framework covering risk management, 
performance standards, policies, procedures, internal audit, review and compliance arrangements, 
reporting, and monitoring processes, 
• 
An assessment of the anti-money laundering and counter-terrorist financing risks of the third party, 
• 
The fees to be charged by a third party. 
9. Due Diligence 
The due diligence should be conducted before any final decision is made to determine whether to 
outsource a material activity or not. This should address all material factors that would impact the 
potential Third party’s ability to perform the business activity.  
The due diligence process should, as a minimum, assess the financial ability, technical ability, and 
capacity of the third party to deliver, including in stressful situations, the required services.",Medium
12,April 2012 42 April 2042 (ast) -,This section provides contextual or background information and does not create a direct compliance obligation.,Informational / Context,Legal & Compliance,Regulatory Compliance,Not Applicable / Informational,This item appears to provide context or background rather than a direct policy obligation; no policy amendment is required unless management wants to reference it for completeness.,9,"6. Overseas outsourcing arrangements 
GRC Function should for any proposed outsourcing arrangements involving transmission, processing, 
and retention of policyholder data and/or financial data and/or material outsourcing to a third party 
located overseas (including head offices and/or regional offices and/or affiliated entities of insurers), 
must provide the following information to Insurance Authority accompanying the request:  
a. Details of the function to be outsourced, 
b. Categorization of the function (material or non-material outsourcing), 
c. Reason for outsourcing, 
d. Details on the third party located overseas (i.e., name, country, address, license, activity, etc.), 
e. Details on the nature and disposal of the data to be transferred, 
f. 
Details on the confidentiality agreement with the third party, 
Confirmation in writing from ABC by a legal opinion affirming ABC’s right of access to the outsourcing 
activity at the third party (Service Provider), in which the third party must guarantee to abide by the 
legal clause. (Alternatively, ABC may use a standard clause approved by Insurance Authority in its 
contract, instead of the legal opinion). 
7. Risk identification and mitigation measures 
Risk identification 
Related Mitigation Measures 
Outsourcing objectives are not 
aligned with the overall business 
strategy and the target operating 
model 
Clear alignment between the material outsourcing arrangement 
and the overall business strategy ensures the target operating 
model. 
Scope and requirements not fully 
understood 
A scope assessment should be both comprehensive in scope and 
flexible enough to support current and future requirements. 
Business case not covering all 
aspects of the material outsourcing 
arrangement 
A solid business case with a current assessment of financial, 
operational, and organizational needs to provide a baseline for 
evaluating a material outsourcing arrangement. This provides 
valuable insights into the total cost of the material outsourcing 
arrangement and the trade-offs. 
The third party may not have the 
plans, tools, systems, and 
resources to manage the material 
outsourcing arrangements 
Change management programs identify and mitigate capability and 
communication gaps and include planning and implementation that 
determine the pace and success of the material outsourcing 
arrangement. 
Managing the many risks raised by the material outsourcing arrangement will be adopted to align the 
objectives, internal and external resources, implements sound governance and controls, and address 
all relevant regulatory and compliance matters.  
Such an approach will include the ability to measure, track and manage all risks associated with specific 
material outsourcing arrangements.",Low
1,"Compliance with sections 9(3)(b)(i} read with sections 12(1){(c) of the Long-term
Insurance Act and Short-term Insurance Act, respectively: Outsourcing

PURPOSE

The purpose of this Directive is to, under sections 4(4) of the Long-term Insurance
Act No. 52 of 1998 and the Short-term Insurance Act No. 53 of 1998 (‘the Acts”),
tead with sections 9(3}(b){i) and sections 12(1)(c) of the Acts, respectively, direct
long-term and short-term insurers (“insurers”) to comply with the requirements set
out in this Directive when outsourcing an aspect of their long-term or short-term
insurance business {“insurance business”) to another person.

BACKGROUND

Outsourcing may materially increase risk to insurers or materially adversely affect
their ability to manage risks and meet regulatory obligations.

International standards’ require an appropriate legislative framework that mitigates
the potential adverse effect referred to in paragraph 2.1.

APPLICATION AND SCOPE OF DIRECTIVE

This Directive applies to all insurers (including, subject to paragraph 3.6,
reinsurers).

Insurance core principles (October 2011), specifically ICP 8.7, of the International Association of

Insurance Supervision (IAIS).

Page 1 of 10



--- Page 2 ---","Insurers must address the requirement described in section 1: Compliance with sections 9(3)(b)(i} read with sections 12(1){(c) of the Long-term Insurance Act and Short-term Insurance Act, respectively: Outsourcing PURPOSE The purpose of this Directive is to, under sections 4(4) of the Long-term Ins...",Legal & Compliance,Legal & Compliance,Regulatory Compliance,Partially Covered,"Policy partially addresses the obligation. Update the policy to explicitly cover the missing requirement, control owner, review frequency, and evidence expectations.",5,"1.7 Definitions  
Term 
Definition / Abbreviation 
GRC Function 
Function in ABC managing Governance, Risk and Compliance activities 
Outsourcing 
Refers to an arrangement under which a third party (service provider) undertakes 
to provide a service previously carried out by it or a new service to be offered by 
it. Dealing with insurance companies, health service providers, actuaries, 
consultants is not considered an Outsourcing Arrangement. 
Third party 
Refers to any service provider to whom the activity is outsourced. A third party 
can be a member of the group to which it belongs, a related company, or an 
unrelated third party, whether located in Saudi Arabia or elsewhere. 
Material Functions 
Refers to operations (underwriting and claims handling) risk management, 
finance, internal audit, compliance, and primary decision-making processes such 
as policy sales and renewals. 
Material Outsourcing 
Refers to an outsourcing arrangement that, if disrupted, has the potential to 
significantly impact on the business operations, reputation, or profitability. 
Policyholder Data 
(Client) 
Refers to any information or document relating to the affairs of a policyholder 
(whether kept physically or electronically and whether held by a third party). 
Financial Data 
Refers to all financial data including books of policies, general and sub-ledger, 
financial statements, and various financial data other than policyholder data. 
Overseas 
Refers to locations outside of Saudi Arabia in which entities are subject to other 
jurisdictions’ laws and regulations. 
IA 
Insurance Authority (erstwhile SAMA) 
ABC 
ABC Digital Insurance Agency 
1.8 Document Control 
• 
The contents of this document are confidential and are ONLY intended for internal use at the Company. 
This document should always be kept in a safe place and must not be copied or revealed to third parties, 
• 
The hard copy of this document shall remain in custody of GRC Function, 
• 
Distribution of this document, in whole or in part, shall be made only as approved by the GRC Function, 
• 
Relevant sections of this Policy must be read by the concerned employees of the Company to ensure 
compliance with the Outsourcing SOP.",Medium
41,"This Directive applies in respect of all aspecis of the insurance business’ of
insurers that are or may be outsourced to another person, but does not apply to
intermediary services®.

This Directive applies irrespective of the person to whom an aspect of the
insurance business is outsourced being a related party or inter-related party of the
insurer as defined in section 1 of the Companies Act No. 71 of 2008, and
irrespective of that other person being located outside of South Africa.

This Directive also applies to —","Insurers must address the requirement described in section 41: This Directive applies in respect of all aspecis of the insurance business’ of insurers that are or may be outsourced to another person, but does not apply to intermediary services®. This Directive applies irrespective of the person to w...",Legal & Compliance,Legal & Compliance,Regulatory Compliance,Partially Covered,"Policy partially addresses the obligation. Update the policy to explicitly cover the missing requirement, control owner, review frequency, and evidence expectations.",13,"Material Outsourcing Arrangement 
Non- Material Outsourcing Arrangement 
Applications processing 
Marketing information services 
Back-office management 
Security services 
Claims administration 
Advisory services 
Underwriting services 
Independent consulting 
Complaints handling 
Mail and courier services 
Investment management 
Printing services 
Manpower management 
Purchase of goods including after-sales and other 
support services 
Marketing and research 
External audit and independent audit assessment  
Business continuity and disaster recovery plan 
Building maintenance and repair services  
Information system management and maintenance 
Credit and background check information services 
Employment of contract or temporary personnel, 
headhunting services, employee assessment, and 
consulting on staff development",Medium
3.4.1,"the outsourcing of any insurance business conducted by a branch of an
insurer located outside of South Africa; and",This section provides contextual or background information and does not create a direct compliance obligation.,Outsourcing / Third Party,Operations,Business Operations,Not Applicable / Informational,This item appears to provide context or background rather than a direct policy obligation; no policy amendment is required unless management wants to reference it for completeness.,9,"6. Overseas outsourcing arrangements 
GRC Function should for any proposed outsourcing arrangements involving transmission, processing, 
and retention of policyholder data and/or financial data and/or material outsourcing to a third party 
located overseas (including head offices and/or regional offices and/or affiliated entities of insurers), 
must provide the following information to Insurance Authority accompanying the request:  
a. Details of the function to be outsourced, 
b. Categorization of the function (material or non-material outsourcing), 
c. Reason for outsourcing, 
d. Details on the third party located overseas (i.e., name, country, address, license, activity, etc.), 
e. Details on the nature and disposal of the data to be transferred, 
f. 
Details on the confidentiality agreement with the third party, 
Confirmation in writing from ABC by a legal opinion affirming ABC’s right of access to the outsourcing 
activity at the third party (Service Provider), in which the third party must guarantee to abide by the 
legal clause. (Alternatively, ABC may use a standard clause approved by Insurance Authority in its 
contract, instead of the legal opinion). 
7. Risk identification and mitigation measures 
Risk identification 
Related Mitigation Measures 
Outsourcing objectives are not 
aligned with the overall business 
strategy and the target operating 
model 
Clear alignment between the material outsourcing arrangement 
and the overall business strategy ensures the target operating 
model. 
Scope and requirements not fully 
understood 
A scope assessment should be both comprehensive in scope and 
flexible enough to support current and future requirements. 
Business case not covering all 
aspects of the material outsourcing 
arrangement 
A solid business case with a current assessment of financial, 
operational, and organizational needs to provide a baseline for 
evaluating a material outsourcing arrangement. This provides 
valuable insights into the total cost of the material outsourcing 
arrangement and the trade-offs. 
The third party may not have the 
plans, tools, systems, and 
resources to manage the material 
outsourcing arrangements 
Change management programs identify and mitigate capability and 
communication gaps and include planning and implementation that 
determine the pace and success of the material outsourcing 
arrangement. 
Managing the many risks raised by the material outsourcing arrangement will be adopted to align the 
objectives, internal and external resources, implements sound governance and controls, and address 
all relevant regulatory and compliance matters.  
Such an approach will include the ability to measure, track and manage all risks associated with specific 
material outsourcing arrangements.",Low
3.4.2,"the outsourcing of any insurance business conducted by a subsidiary of an
insurer located in or outside of South Africa.

This Directive does not apply to functions or activities performed by an insurer on
behalf of another person, i.e. it does not apply where functions or activities have
been outsourced to the insurer.

This Directive applies to any outsourcing (such as pricing and actuarial services) by
an insurer to a reinsurer or by a reinsurer to an insurer, whether under a
reinsurance contract or not, but does not apply to the actual insurance provided
under a reinsurance contract.

This Directive sets out the general and overarching requirements that an insurer
must comply with when outsourcing any aspect of its insurance business. This
means that it applies in addition to the existing regulatory framework. An insurer
must therefore, in addition to this Directive comply with the specific regulatory
requirements set out in the regulatory framework, such as the requirements relating
to nominee business, binder agreements and assistance business group schemes
(under the Long-term Insurance Act).

LEGISLATIVE FRAMEWORK

Sections &3)b)(i) of the Acts provide that an application for registration as an
insurer may not be granted by the Registrar if the applicant does not, inter alia,
have the organisation or management that is necessary and adequate for the
carrying on of the business concerned.

This includes not only the functions or activities that constitute the provision of policy benefits as per the
definition of long-term insurance business and short-term insurance business in the Acts, but includes all
functions or activities that enable the insurer to provide such policy benefits such as IT systems, asset
management and records / database administration.

Means the “rendering services as intermediary” as defined in Part 3A of the Regulations issued under
section 72 of the Long-term Insurance Act and “services as intermediary” as defined in section 1 of the
‘Short-term Insurance Act.



--- Page 3 ---","Insurers must address the requirement described in section 3.4.2: the outsourcing of any insurance business conducted by a subsidiary of an insurer located in or outside of South Africa. This Directive does not apply to functions or activities performed by an insurer on behalf of another person, i.e. i...",Legal & Compliance,Legal & Compliance,Regulatory Compliance,Partially Covered,"Policy partially addresses the obligation. Update the policy to explicitly cover the missing requirement, control owner, review frequency, and evidence expectations.",5,"1.7 Definitions  
Term 
Definition / Abbreviation 
GRC Function 
Function in ABC managing Governance, Risk and Compliance activities 
Outsourcing 
Refers to an arrangement under which a third party (service provider) undertakes 
to provide a service previously carried out by it or a new service to be offered by 
it. Dealing with insurance companies, health service providers, actuaries, 
consultants is not considered an Outsourcing Arrangement. 
Third party 
Refers to any service provider to whom the activity is outsourced. A third party 
can be a member of the group to which it belongs, a related company, or an 
unrelated third party, whether located in Saudi Arabia or elsewhere. 
Material Functions 
Refers to operations (underwriting and claims handling) risk management, 
finance, internal audit, compliance, and primary decision-making processes such 
as policy sales and renewals. 
Material Outsourcing 
Refers to an outsourcing arrangement that, if disrupted, has the potential to 
significantly impact on the business operations, reputation, or profitability. 
Policyholder Data 
(Client) 
Refers to any information or document relating to the affairs of a policyholder 
(whether kept physically or electronically and whether held by a third party). 
Financial Data 
Refers to all financial data including books of policies, general and sub-ledger, 
financial statements, and various financial data other than policyholder data. 
Overseas 
Refers to locations outside of Saudi Arabia in which entities are subject to other 
jurisdictions’ laws and regulations. 
IA 
Insurance Authority (erstwhile SAMA) 
ABC 
ABC Digital Insurance Agency 
1.8 Document Control 
• 
The contents of this document are confidential and are ONLY intended for internal use at the Company. 
This document should always be kept in a safe place and must not be copied or revealed to third parties, 
• 
The hard copy of this document shall remain in custody of GRC Function, 
• 
Distribution of this document, in whole or in part, shall be made only as approved by the GRC Function, 
• 
Relevant sections of this Policy must be read by the concerned employees of the Company to ensure 
compliance with the Outsourcing SOP.",Medium
5.2,"Sections 12(1)(c) of the Acts provide that the Registrar may prohibit an insurer from
carrying on insurance business, inter alia, if an insurer is not able to satisfy the
Registrar as to the matters referred to in section X3\(bXi).

This means that an insurer must at all times -","Insurers must address the requirement described in section 5.2: Sections 12(1)(c) of the Acts provide that the Registrar may prohibit an insurer from carrying on insurance business, inter alia, if an insurer is not able to satisfy the Registrar as to the matters referred to in section X3\(bXi). This...",Legal & Compliance,Legal & Compliance,Regulatory Compliance,Partially Covered,"Policy partially addresses the obligation. Update the policy to explicitly cover the missing requirement, control owner, review frequency, and evidence expectations.",9,"6. Overseas outsourcing arrangements 
GRC Function should for any proposed outsourcing arrangements involving transmission, processing, 
and retention of policyholder data and/or financial data and/or material outsourcing to a third party 
located overseas (including head offices and/or regional offices and/or affiliated entities of insurers), 
must provide the following information to Insurance Authority accompanying the request:  
a. Details of the function to be outsourced, 
b. Categorization of the function (material or non-material outsourcing), 
c. Reason for outsourcing, 
d. Details on the third party located overseas (i.e., name, country, address, license, activity, etc.), 
e. Details on the nature and disposal of the data to be transferred, 
f. 
Details on the confidentiality agreement with the third party, 
Confirmation in writing from ABC by a legal opinion affirming ABC’s right of access to the outsourcing 
activity at the third party (Service Provider), in which the third party must guarantee to abide by the 
legal clause. (Alternatively, ABC may use a standard clause approved by Insurance Authority in its 
contract, instead of the legal opinion). 
7. Risk identification and mitigation measures 
Risk identification 
Related Mitigation Measures 
Outsourcing objectives are not 
aligned with the overall business 
strategy and the target operating 
model 
Clear alignment between the material outsourcing arrangement 
and the overall business strategy ensures the target operating 
model. 
Scope and requirements not fully 
understood 
A scope assessment should be both comprehensive in scope and 
flexible enough to support current and future requirements. 
Business case not covering all 
aspects of the material outsourcing 
arrangement 
A solid business case with a current assessment of financial, 
operational, and organizational needs to provide a baseline for 
evaluating a material outsourcing arrangement. This provides 
valuable insights into the total cost of the material outsourcing 
arrangement and the trade-offs. 
The third party may not have the 
plans, tools, systems, and 
resources to manage the material 
outsourcing arrangements 
Change management programs identify and mitigate capability and 
communication gaps and include planning and implementation that 
determine the pace and success of the material outsourcing 
arrangement. 
Managing the many risks raised by the material outsourcing arrangement will be adopted to align the 
objectives, internal and external resources, implements sound governance and controls, and address 
all relevant regulatory and compliance matters.  
Such an approach will include the ability to measure, track and manage all risks associated with specific 
material outsourcing arrangements.",Medium
4.3.1,"be able to demonstrate that it has the organisation or management that is
necessary and adequate for the carrying on of the business concerned; and",This section provides contextual or background information and does not create a direct compliance obligation.,Governance,Legal & Compliance,Regulatory Compliance,Not Applicable / Informational,This item appears to provide context or background rather than a direct policy obligation; no policy amendment is required unless management wants to reference it for completeness.,9,"6. Overseas outsourcing arrangements 
GRC Function should for any proposed outsourcing arrangements involving transmission, processing, 
and retention of policyholder data and/or financial data and/or material outsourcing to a third party 
located overseas (including head offices and/or regional offices and/or affiliated entities of insurers), 
must provide the following information to Insurance Authority accompanying the request:  
a. Details of the function to be outsourced, 
b. Categorization of the function (material or non-material outsourcing), 
c. Reason for outsourcing, 
d. Details on the third party located overseas (i.e., name, country, address, license, activity, etc.), 
e. Details on the nature and disposal of the data to be transferred, 
f. 
Details on the confidentiality agreement with the third party, 
Confirmation in writing from ABC by a legal opinion affirming ABC’s right of access to the outsourcing 
activity at the third party (Service Provider), in which the third party must guarantee to abide by the 
legal clause. (Alternatively, ABC may use a standard clause approved by Insurance Authority in its 
contract, instead of the legal opinion). 
7. Risk identification and mitigation measures 
Risk identification 
Related Mitigation Measures 
Outsourcing objectives are not 
aligned with the overall business 
strategy and the target operating 
model 
Clear alignment between the material outsourcing arrangement 
and the overall business strategy ensures the target operating 
model. 
Scope and requirements not fully 
understood 
A scope assessment should be both comprehensive in scope and 
flexible enough to support current and future requirements. 
Business case not covering all 
aspects of the material outsourcing 
arrangement 
A solid business case with a current assessment of financial, 
operational, and organizational needs to provide a baseline for 
evaluating a material outsourcing arrangement. This provides 
valuable insights into the total cost of the material outsourcing 
arrangement and the trade-offs. 
The third party may not have the 
plans, tools, systems, and 
resources to manage the material 
outsourcing arrangements 
Change management programs identify and mitigate capability and 
communication gaps and include planning and implementation that 
determine the pace and success of the material outsourcing 
arrangement. 
Managing the many risks raised by the material outsourcing arrangement will be adopted to align the 
objectives, internal and external resources, implements sound governance and controls, and address 
all relevant regulatory and compliance matters.  
Such an approach will include the ability to measure, track and manage all risks associated with specific 
material outsourcing arrangements.",Low
4.3.2,"have an appropriate governance framework relating to outsourcing in place
to ensure that it effectively manages risks and meets regulatory obligations.

CLARIFICATION AND APPLICATION OF TERMINOLOGY USED IN DIRECTIVE

For purposes of this Directive, any word or expression to which a meaning has
been assigned in the Acts has the meaning so assigned to it, and -",Insurers must address the requirement described in section 4.3.2: have an appropriate governance framework relating to outsourcing in place to ensure that it effectively manages risks and meets regulatory obligations. CLARIFICATION AND APPLICATION OF TERMINOLOGY USED IN DIRECTIVE For purposes of this D...,Legal & Compliance,Legal & Compliance,Regulatory Compliance,Partially Covered,"Policy partially addresses the obligation. Update the policy to explicitly cover the missing requirement, control owner, review frequency, and evidence expectations.",4,"1.2 Purpose 
ABC’s Outsourcing Policy is to ensure:  
• 
That the company’s exposure to material outsourcing risk is mitigated, 
• 
That the material outsourcing arrangements are conducted as effectively and efficiently, 
• 
That the material outsourcing monitoring systems are implemented and maintained, 
• 
That the material outsourcing arrangements consistently comply with regulatory requirements, 
• 
The protection of policyholder(clients) data and financial data; and 
• 
The obligations and responsibilities of all employees involved in the material outsourcing process. 
ABC in terms of compliance will establish and maintain:  
• 
Appropriate documented internal monitoring controls and procedures, 
• 
Monitoring systems appropriate to the material outsourcing arrangement, 
• 
Annual due diligence of the third party, 
• 
Timely reporting of all material outsourcing arrangements (depending on the level, complexity, and 
materiality), 
• 
A record-keeping system of all outsourcing arrangements.",Medium
5.1.1,"“contro! function” means the risk management function, the compliance
function, the actuarial control function and the internal audit function;",This section provides contextual or background information and does not create a direct compliance obligation.,Risk Management,Risk Management,Enterprise Risk Management,Not Applicable / Informational,This item appears to provide context or background rather than a direct policy obligation; no policy amendment is required unless management wants to reference it for completeness.,9,"6. Overseas outsourcing arrangements 
GRC Function should for any proposed outsourcing arrangements involving transmission, processing, 
and retention of policyholder data and/or financial data and/or material outsourcing to a third party 
located overseas (including head offices and/or regional offices and/or affiliated entities of insurers), 
must provide the following information to Insurance Authority accompanying the request:  
a. Details of the function to be outsourced, 
b. Categorization of the function (material or non-material outsourcing), 
c. Reason for outsourcing, 
d. Details on the third party located overseas (i.e., name, country, address, license, activity, etc.), 
e. Details on the nature and disposal of the data to be transferred, 
f. 
Details on the confidentiality agreement with the third party, 
Confirmation in writing from ABC by a legal opinion affirming ABC’s right of access to the outsourcing 
activity at the third party (Service Provider), in which the third party must guarantee to abide by the 
legal clause. (Alternatively, ABC may use a standard clause approved by Insurance Authority in its 
contract, instead of the legal opinion). 
7. Risk identification and mitigation measures 
Risk identification 
Related Mitigation Measures 
Outsourcing objectives are not 
aligned with the overall business 
strategy and the target operating 
model 
Clear alignment between the material outsourcing arrangement 
and the overall business strategy ensures the target operating 
model. 
Scope and requirements not fully 
understood 
A scope assessment should be both comprehensive in scope and 
flexible enough to support current and future requirements. 
Business case not covering all 
aspects of the material outsourcing 
arrangement 
A solid business case with a current assessment of financial, 
operational, and organizational needs to provide a baseline for 
evaluating a material outsourcing arrangement. This provides 
valuable insights into the total cost of the material outsourcing 
arrangement and the trade-offs. 
The third party may not have the 
plans, tools, systems, and 
resources to manage the material 
outsourcing arrangements 
Change management programs identify and mitigate capability and 
communication gaps and include planning and implementation that 
determine the pace and success of the material outsourcing 
arrangement. 
Managing the many risks raised by the material outsourcing arrangement will be adopted to align the 
objectives, internal and external resources, implements sound governance and controls, and address 
all relevant regulatory and compliance matters.  
Such an approach will include the ability to measure, track and manage all risks associated with specific 
material outsourcing arrangements.",Low
